"","Publisher.Group","Month","Transaction.type","mean_val","date"
"1","Government & Public Sector","2020-01","commitments",822.524751,2020-01-01
"2","Government & Public Sector","2020-02","commitments",432.011737,2020-02-01
"3","Government & Public Sector","2020-03","commitments",966.654113,2020-03-01
"4","Government & Public Sector","2020-04","commitments",936.344538,2020-04-01
"5","Government & Public Sector","2020-05","commitments",730.570877,2020-05-01
"6","Government & Public Sector","2020-06","commitments",2508.447892,2020-06-01
"7","Government & Public Sector","2020-07","commitments",1661.891628,2020-07-01
"8","Government & Public Sector","2020-08","commitments",2324.656562,2020-08-01
"9","Government & Public Sector","2020-09","commitments",3369.721443,2020-09-01
"10","Government & Public Sector","2020-10","commitments",741.082754,2020-10-01
"11","Government & Public Sector","2020-11","commitments",1114.201612,2020-11-01
"12","Government & Public Sector","2020-12","commitments",4955.698502,2020-12-01
"13","Government & Public Sector","2021-01","commitments",199.219562,2021-01-01
"14","Government & Public Sector","2021-02","commitments",427.498891,2021-02-01
"15","Government & Public Sector","2021-03","commitments",3107.142435,2021-03-01
"16","Government & Public Sector","2021-04","commitments",256.857688,2021-04-01
"17","Government & Public Sector","2021-05","commitments",160.099051,2021-05-01
"18","Government & Public Sector","2021-06","commitments",2756.009577,2021-06-01
"19","Government & Public Sector","2021-07","commitments",3.040273,2021-07-01
"20","Multilateral","2020-01","commitments",702.719388,2020-01-01
"21","Multilateral","2020-03","commitments",10,2020-03-01
"22","Multilateral","2020-04","commitments",4962.159599,2020-04-01
"23","Multilateral","2020-05","commitments",3038.717482,2020-05-01
"24","Multilateral","2020-06","commitments",23729.467132,2020-06-01
"25","Multilateral","2020-07","commitments",3249.305238,2020-07-01
"26","Multilateral","2020-08","commitments",3885.836856,2020-08-01
"27","Multilateral","2020-09","commitments",8719.659292,2020-09-01
"28","Multilateral","2020-10","commitments",1096.678677,2020-10-01
"29","Multilateral","2020-11","commitments",2439.775683,2020-11-01
"30","Multilateral","2020-12","commitments",11912.053362,2020-12-01
"31","Multilateral","2021-01","commitments",434.639451,2021-01-01
"32","Multilateral","2021-02","commitments",52.233571,2021-02-01
"33","Multilateral","2021-03","commitments",10019.567459,2021-03-01
"34","Multilateral","2021-04","commitments",1824.764776,2021-04-01
"35","Multilateral","2021-05","commitments",2621.864941,2021-05-01
"36","Multilateral","2021-06","commitments",0.000911,2021-06-01
"37","Non Governmental Organisation","2020-01","commitments",1.48561,2020-01-01
"38","Non Governmental Organisation","2020-02","commitments",0.313,2020-02-01
"39","Non Governmental Organisation","2020-03","commitments",5.730391,2020-03-01
"40","Non Governmental Organisation","2020-04","commitments",12.748141,2020-04-01
"41","Non Governmental Organisation","2020-05","commitments",42.523434,2020-05-01
"42","Non Governmental Organisation","2020-06","commitments",82.03058,2020-06-01
"43","Non Governmental Organisation","2020-07","commitments",100.67949,2020-07-01
"44","Non Governmental Organisation","2020-08","commitments",24.475317,2020-08-01
"45","Non Governmental Organisation","2020-09","commitments",69.797228,2020-09-01
"46","Non Governmental Organisation","2020-10","commitments",69.516127,2020-10-01
"47","Non Governmental Organisation","2020-11","commitments",36.641938,2020-11-01
"48","Non Governmental Organisation","2020-12","commitments",58.895485,2020-12-01
"49","Non Governmental Organisation","2021-01","commitments",42.70162,2021-01-01
"50","Non Governmental Organisation","2021-02","commitments",42.246884,2021-02-01
"51","Non Governmental Organisation","2021-03","commitments",18.926312,2021-03-01
"52","Non Governmental Organisation","2021-04","commitments",6.497326,2021-04-01
"53","Non Governmental Organisation","2021-05","commitments",8.405149,2021-05-01
"54","Non Governmental Organisation","2021-06","commitments",48.764575,2021-06-01
